date,站点,深度_m,u_m_s,v_m_s,流速_m_s
2021-01-13,珠海,2.0,-0.003,0.03,0.03015
2021-01-13,珠海,4.0,-0.001,0.044,0.044011
2021-01-13,珠海,6.0,0.0,0.051000000000000004,0.051
2021-01-13,珠海,8.0,,,
2021-01-13,珠海,10.0,,,
2021-01-13,珠海,12.0,,,
2021-01-13,珠海,15.0,,,
2021-01-13,珠海,20.0,,,
2021-01-13,珠海,25.0,,,
2021-01-13,珠海,30.0,,,
2021-01-13,珠海,35.0,,,
2021-01-13,珠海,40.0,,,
2021-01-13,珠海,45.0,,,
2021-01-13,珠海,50.0,,,
2021-01-13,珠海,60.0,,,
2021-01-13,珠海,70.0,,,
2021-01-13,珠海,80.0,,,
2021-01-13,珠海,90.0,,,
2021-01-13,珠海,100.0,,,
2021-01-13,珠海,125.0,,,
2021-01-13,珠海,150.0,,,
2021-01-13,珠海,200.0,,,
2021-01-13,珠海,250.0,,,
2021-01-13,珠海,300.0,,,
2021-01-13,珠海,350.0,,,
2021-01-13,珠海,400.0,,,
2021-01-13,珠海,500.0,,,
2021-01-13,珠海,600.0,,,
2021-01-13,珠海,700.0,,,
2021-01-13,珠海,800.0,,,
2021-01-13,珠海,900.0,,,
2021-01-13,珠海,1000.0,,,
2021-01-13,珠海,1250.0,,,
2021-01-13,珠海,1500.0,,,
2021-01-13,珠海,2000.0,,,
2021-01-13,珠海,2500.0,,,
2021-01-13,珠海,3000.0,,,
2021-01-13,珠海,4000.0,,,
2021-01-13,珠海,5000.0,,,
2021-01-12,珠海,0.0,-0.017,-0.017,0.024042
2021-01-12,珠海,2.0,-0.011,0.052000000000000005,0.053151
2021-01-12,珠海,4.0,-0.008,0.092,0.092347
2021-01-12,珠海,6.0,0.0,0.11,0.11
2021-01-12,珠海,8.0,,,
2021-01-12,珠海,10.0,,,
2021-01-12,珠海,12.0,,,
2021-01-12,珠海,15.0,,,
2021-01-12,珠海,20.0,,,
2021-01-12,珠海,25.0,,,
2021-01-12,珠海,30.0,,,
2021-01-12,珠海,35.0,,,
2021-01-12,珠海,40.0,,,
2021-01-12,珠海,45.0,,,
2021-01-12,珠海,50.0,,,
2021-01-12,珠海,60.0,,,
2021-01-12,珠海,70.0,,,
2021-01-12,珠海,80.0,,,
2021-01-12,珠海,90.0,,,
2021-01-12,珠海,100.0,,,
2021-01-12,珠海,125.0,,,
2021-01-12,珠海,150.0,,,
2021-01-12,珠海,200.0,,,
2021-01-12,珠海,250.0,,,
2021-01-12,珠海,300.0,,,
2021-01-12,珠海,350.0,,,
2021-01-12,珠海,400.0,,,
2021-01-12,珠海,500.0,,,
2021-01-12,珠海,600.0,,,
2021-01-12,珠海,700.0,,,
2021-01-12,珠海,800.0,,,
2021-01-12,珠海,900.0,,,
2021-01-12,珠海,1000.0,,,
2021-01-12,珠海,1250.0,,,
2021-01-12,珠海,1500.0,,,
2021-01-12,珠海,2000.0,,,
2021-01-12,珠海,2500.0,,,
2021-01-12,珠海,3000.0,,,
2021-01-12,珠海,4000.0,,,
2021-01-12,珠海,5000.0,,,
2021-01-11,珠海,0.0,-0.011,-0.157,0.157385
2021-01-11,珠海,2.0,-0.007,-0.093,0.093263
2021-01-11,珠海,4.0,-0.005,-0.055,0.055227
2021-01-11,珠海,6.0,0.0,-0.035,0.035
2021-01-11,珠海,8.0,,,
2021-01-11,珠海,10.0,,,
2021-01-11,珠海,12.0,,,
2021-01-11,珠海,15.0,,,
2021-01-11,珠海,20.0,,,
2021-01-11,珠海,25.0,,,
2021-01-11,珠海,30.0,,,
2021-01-11,珠海,35.0,,,
2021-01-11,珠海,40.0,,,
2021-01-11,珠海,45.0,,,
2021-01-11,珠海,50.0,,,
2021-01-11,珠海,60.0,,,
2021-01-11,珠海,70.0,,,
2021-01-11,珠海,80.0,,,
2021-01-11,珠海,90.0,,,
2021-01-11,珠海,100.0,,,
2021-01-11,珠海,125.0,,,
2021-01-11,珠海,150.0,,,
2021-01-11,珠海,200.0,,,
2021-01-11,珠海,250.0,,,
2021-01-11,珠海,300.0,,,
2021-01-11,珠海,350.0,,,
2021-01-11,珠海,400.0,,,
2021-01-11,珠海,500.0,,,
2021-01-11,珠海,600.0,,,
2021-01-11,珠海,700.0,,,
2021-01-11,珠海,800.0,,,
2021-01-11,珠海,900.0,,,
2021-01-11,珠海,1000.0,,,
2021-01-11,珠海,1250.0,,,
2021-01-11,珠海,1500.0,,,
2021-01-11,珠海,2000.0,,,
2021-01-11,珠海,2500.0,,,
2021-01-11,珠海,3000.0,,,
2021-01-11,珠海,4000.0,,,
2021-01-11,珠海,5000.0,,,
2021-01-14,珠海,0.0,-0.001,0.057,0.057009
2021-01-14,珠海,2.0,0.001,0.066,0.066008
2021-01-14,珠海,4.0,0.003,0.074,0.074061
2021-01-14,珠海,6.0,0.0,0.074,0.074
2021-01-14,珠海,8.0,,,
2021-01-14,珠海,10.0,,,
2021-01-14,珠海,12.0,,,
2021-01-14,珠海,15.0,,,
