material,temperature_C,temperature_min_C,temperature_max_C,thermal_conductivity_W_per_mK,thermal_conductivity_min_W_per_mK,thermal_conductivity_max_W_per_mK,数据质量
"Steel - Carbon, 1.5% C",400.0,400.0,400.0,36.0,36.0,36.0,完整点值
"Steel - Carbon, 1.5% C",122.0,122.0,122.0,33.0,33.0,33.0,完整点值
"Steel - Chrome, 1% Cr",20.0,20.0,20.0,61.0,61.0,61.0,完整点值
"Steel - Chrome, 5% Cr",20.0,20.0,20.0,40.0,40.0,40.0,完整点值
"Steel - Chrome, 10% Cr",20.0,20.0,20.0,31.0,31.0,31.0,完整点值
"Steel - Chrome Nickel, 15% Cr, 10% Ni",20.0,20.0,20.0,19.0,19.0,19.0,完整点值
"Steel - Chrome Nickel, 20% Cr, 15% Ni",20.0,20.0,20.0,15.1,15.1,15.1,完整点值
Steel - Hastelloy B,20.0,20.0,20.0,10.0,10.0,10.0,完整点值
Steel - Hastelloy C,21.0,21.0,21.0,8.7,8.7,8.7,完整点值
"Steel - Nickel, 10% Ni",20.0,20.0,20.0,26.0,26.0,26.0,完整点值
"Steel - Nickel, 20% Ni",20.0,20.0,20.0,19.0,19.0,19.0,完整点值
"Steel - Nickel, 40% Ni",20.0,20.0,20.0,10.0,10.0,10.0,完整点值
"Steel - Nickel, 60% Ni",20.0,20.0,20.0,19.0,19.0,19.0,完整点值
"Steel - Nickel Chrome, 80% Ni, 15% Cr",20.0,20.0,20.0,17.0,17.0,17.0,完整点值
"Steel - Nickel Chrome, 40% Ni, 15% Cr",20.0,20.0,20.0,11.6,11.6,11.6,完整点值
"Steel - Manganese, 1% Mn",20.0,20.0,20.0,50.0,50.0,50.0,完整点值
"Steel - Stainless, Type 304",20.0,20.0,20.0,14.4,14.4,14.4,完整点值
"Steel - Stainless, Type 347",20.0,20.0,20.0,14.3,14.3,14.3,完整点值
"Steel - Tungsten, 1% W",20.0,20.0,20.0,66.0,66.0,66.0,完整点值
Steel - Wrought Carbon,0.0,0.0,0.0,59.0,59.0,59.0,完整点值
Tantalum,-73.0,-73.0,-73.0,57.5,57.5,57.5,完整点值
Tantalum,0.0,0.0,0.0,57.4,57.4,57.4,完整点值
Tantalum,127.0,127.0,127.0,57.8,57.8,57.8,完整点值
Tantalum,327.0,327.0,327.0,58.9,58.9,58.9,完整点值
Tantalum,527.0,527.0,527.0,59.4,59.4,59.4,完整点值
Tantalum,727.0,727.0,727.0,60.2,60.2,60.2,完整点值
Tantalum,927.0,927.0,927.0,61.0,61.0,61.0,完整点值
Thorium,20.0,20.0,20.0,42.0,42.0,42.0,完整点值
Tin,-73.0,-73.0,-73.0,73.3,73.3,73.3,完整点值
Tin,0.0,0.0,0.0,68.2,68.2,68.2,完整点值
Tin,127.0,127.0,127.0,62.2,62.2,62.2,完整点值
Titanium,-73.0,-73.0,-73.0,24.5,24.5,24.5,完整点值
Titanium,0.0,0.0,0.0,22.4,22.4,22.4,完整点值
Titanium,127.0,127.0,127.0,20.4,20.4,20.4,完整点值
Titanium,327.0,327.0,327.0,19.4,19.4,19.4,完整点值
Titanium,527.0,527.0,527.0,19.7,19.7,19.7,完整点值
Titanium,727.0,727.0,727.0,20.7,20.7,20.7,完整点值
Titanium,927.0,927.0,927.0,22.0,22.0,22.0,完整点值
Tungsten,-73.0,-73.0,-73.0,197.0,197.0,197.0,完整点值
Tungsten,0.0,0.0,0.0,182.0,182.0,182.0,完整点值
Tungsten,127.0,127.0,127.0,162.0,162.0,162.0,完整点值
Tungsten,327.0,327.0,327.0,139.0,139.0,139.0,完整点值
Tungsten,527.0,527.0,527.0,128.0,128.0,128.0,完整点值
Tungsten,727.0,727.0,727.0,121.0,121.0,121.0,完整点值
Tungsten,927.0,927.0,927.0,115.0,115.0,115.0,完整点值
Uranium,-73.0,-73.0,-73.0,25.1,25.1,25.1,完整点值
Uranium,0.0,0.0,0.0,27.0,27.0,27.0,完整点值
Uranium,127.0,127.0,127.0,29.6,29.6,29.6,完整点值
Uranium,327.0,327.0,327.0,34.0,34.0,34.0,完整点值
Uranium,527.0,527.0,527.0,38.8,38.8,38.8,完整点值
Uranium,727.0,727.0,727.0,43.9,43.9,43.9,完整点值
Uranium,927.0,927.0,927.0,49.0,49.0,49.0,完整点值
Vanadium,-73.0,-73.0,-73.0,31.5,31.5,31.5,完整点值
Vanadium,0.0,0.0,0.0,31.3,31.3,31.3,完整点值
Vanadium,427.0,427.0,427.0,32.1,32.1,32.1,完整点值
Vanadium,327.0,327.0,327.0,34.2,34.2,34.2,完整点值
Vanadium,527.0,527.0,527.0,36.3,36.3,36.3,完整点值
Vanadium,727.0,727.0,727.0,38.6,38.6,38.6,完整点值
Vanadium,927.0,927.0,927.0,41.2,41.2,41.2,完整点值
Zinc,-73.0,-73.0,-73.0,123.0,123.0,123.0,完整点值
Zinc,0.0,0.0,0.0,122.0,122.0,122.0,完整点值
Zinc,127.0,127.0,127.0,116.0,116.0,116.0,完整点值
Zinc,327.0,327.0,327.0,105.0,105.0,105.0,完整点值
Zirconium,-73.0,-73.0,-73.0,25.2,25.2,25.2,完整点值
Zirconium,0.0,0.0,0.0,23.2,23.2,23.2,完整点值
Zirconium,127.0,127.0,127.0,21.6,21.6,21.6,完整点值
Zirconium,327.0,327.0,327.0,20.7,20.7,20.7,完整点值
Zirconium,527.0,527.0,527.0,21.6,21.6,21.6,完整点值
Zirconium,727.0,727.0,727.0,23.7,23.7,23.7,完整点值
Zirconium,927.0,927.0,927.0,25.7,25.7,25.7,完整点值
