排名,mat_idx,depth,wall,Q,cost,life,N,n_theory,n_space,T_sea,t_req,corr_allow_mm,mass_kg,材料,D_plus,D_minus,TOPSIS贴近度
31,5,83.34630967460575,0.00598075016878194,7046480.702827265,221512.45118388685,36.77453838011842,1018,14092.961405654529,1018.2200492411009,21.314369690470468,0.0030387870983724662,2.9419630704094737,2962.0356056453948,T2 紫铜,0.04252873827974672,0.06754450032422758,0.613632352249049
32,5,75.91395890186509,0.0056642954289554,6982029.861726581,212147.05553840206,36.20612642528903,1019,13964.059723453161,1019.5921258724885,21.781186820084415,0.0027678053149322772,2.8964901140231225,2824.309199094148,T2 紫铜,0.04153481760295933,0.06587688045970083,0.6133119729777534
33,5,91.75688831564261,0.006143912593500711,7117790.198387434,226338.55518724557,34.9809718843358,1017,14235.580396774867,1017.5130012129862,20.797820711139927,0.0033454348427538467,2.7984777507468643,3033.007723341847,T2 紫铜,0.04447306639550819,0.06760208974616959,0.6031853273593626
34,0,52.543939058227245,0.005975883391771888,6545961.582260098,39912.613109563594,23.874724130398032,1018,13091.923164520196,1018.2411429818488,23.31228861809652,0.0023946747722121834,3.5812086195597046,900.8446867983455,6061 铝合金,0.042567694604606486,0.06357653219733077,0.5989636376169865
35,5,99.91083677338202,0.006372941245726538,7185276.127451185,233109.84888578672,34.1276916935851,1016,14370.55225490237,1016.5209733051734,20.308902330859766,0.0036427259102397302,2.730215335486808,3132.5855718498046,T2 紫铜,0.04620683448266978,0.06840495449851193,0.5968404743227893
36,5,100.0,0.006306595563252999,7186005.113846939,231148.685761613,33.25773478092229,1016,14372.010227693878,1016.8082933709642,20.30362060856164,0.0036459767807792156,2.6606187824737835,3103.744937670779,T2 紫铜,0.046536967938174516,0.06781314589905946,0.5930308560565557
37,0,18.466927552995333,0.005068308543528525,6226309.025514242,37266.07002467375,28.177891200977424,1022,12452.618051028485,1022.1788847751873,25.71689630023566,0.0008416248633819116,4.226683680146613,780.5472738488068,6061 铝合金,0.04225637291724597,0.06117578161990583,0.591458061505739
38,0,76.7552415175897,0.00651620519382149,6756597.698808828,41485.61990278524,20.12071559412386,1015,13513.195397617657,1015.9006956918582,21.727859582742845,0.0034980978547029112,3.0181073391185786,972.3449955811475,6061 铝合金,0.045623094132464334,0.065849629683178,0.5907241469409371
39,0,23.33223935934099,0.005026319680374204,6273599.013967478,37143.495211730275,26.419730956849673,1022,12547.198027934955,1022.3612615392361,25.361091338905513,0.0010633600368467522,3.962959643527451,774.9756914422852,6061 铝合金,0.043415025090864125,0.06081333576014477,0.5834624593883375
40,0,59.703454829070765,0.00585475922700385,6609677.790360859,39559.72485368521,20.89194401010127,1018,13219.355580721718,1018.7661987957838,22.83302938930166,0.0027209676254886595,3.1337916015151905,884.804311531146,6061 铝合金,0.045860747417795174,0.06354108109549106,0.5808045620350336
